X--Trace 1::[V(5) - V(4) | V(PR1)],Y--Trace 1::[V(5) - V(4) | V(PR1)],,X--Trace 2::[V(1) | V(PR2)],Y--Trace 2::[V(1) | V(PR2)]
0,6.39488e-14,,0,0
1e-10,2.66454e-14,,1e-10,0
2e-10,1.95399e-14,,2e-10,0
4e-10,4.26326e-14,,4e-10,0
8e-10,-6.21725e-14,,8e-10,0
1.6e-09,3.01981e-14,,1.6e-09,0
3.2e-09,6.03961e-14,,3.2e-09,0
6.4e-09,-1.95399e-13,,6.4e-09,0
1.28e-08,2.70006e-13,,1.28e-08,0
2.28e-08,1.77636e-15,,2.28e-08,0
3.28e-08,1.81188e-13,,3.28e-08,0
4.28e-08,-2.46914e-13,,4.28e-08,0
5.28e-08,1.42109e-14,,5.28e-08,0
6.28e-08,-1.45661e-13,,6.28e-08,0
7.28e-08,-8.88178e-14,,7.28e-08,0
8.28e-08,-6.39488e-14,,8.28e-08,0
9.28e-08,-7.28306e-14,,9.28e-08,0
1.028e-07,-2.4869e-14,,1.028e-07,0
1.128e-07,-1.19016e-13,,1.128e-07,0
1.228e-07,-1.66978e-13,,1.228e-07,0
1.328e-07,4.61853e-14,,1.328e-07,0
1.428e-07,-3.10862e-13,,1.428e-07,0
1.528e-07,1.42109e-14,,1.528e-07,0
1.628e-07,3.37508e-14,,1.628e-07,0
1.728e-07,4.26326e-14,,1.728e-07,0
1.828e-07,-5.68434e-14,,1.828e-07,0
1.928e-07,2.34479e-13,,1.928e-07,0
2.028e-07,7.81597e-14,,2.028e-07,0
2.128e-07,4.42313e-13,,2.128e-07,0
2.228e-07,1.29674e-13,,2.228e-07,0
2.328e-07,1.06581e-14,,2.328e-07,0
2.428e-07,1.95399e-14,,2.428e-07,0
2.528e-07,1.65201e-13,,2.528e-07,0
2.628e-07,-6.21725e-14,,2.628e-07,0
2.728e-07,1.08358e-13,,2.728e-07,0
2.828e-07,-4.26326e-14,,2.828e-07,0
2.928e-07,1.77636e-14,,2.928e-07,0
